DP1	DP2	DPtotal
6865	323	7350
6864	77	7400
6435	69	6542
4588	1781	6377
4932	104	5038
4919	37	4957
3990	707	4753
6003	106	6141
7044	141	7186
7120	92	7228
7407	131	7549
7386	161	7551
7158	89	7258
6999	60	7085
6694	213	6978
6210	193	6412
5989	73	6091
4374	40	4417
4279	56	4358
4188	106	4318
3026	4858	7892
4531	3983	8516
7898	1347	9250
7892	1393	9289
8087	1193	9376
2287	6991	9282
3661	5574	9242
3404	5815	9223
7814	40	7856
7616	47	7669
7121	40	7166
3999	1073	5148
5246	97	5422
6349	79	6428
5361	1595	7105
7139	111	7254
7096	254	7353
7293	142	7440
6752	699	7455
7773	296	8171
8567	314	8886
8798	535	9704
9322	559	9882
9931	257	10196
10343	86	10434
9929	154	10237
7045	2684	9734
9364	488	9858
3514	5906	9426
9081	77	9160
9064	149	9214
630	6424	7062
6459	128	6597
6339	154	6495
6095	194	6434
6131	90	6223
5944	224	6179
5461	616	6081
1564	5627	8001
8161	200	8362
7703	895	8601
9314	281	9607
9479	1021	10503
3787	7357	11152
9701	1330	11035
10531	509	11041
5839	4388	10933
6592	4308	10903
6128	3830	10779
8845	1889	10740
10403	175	10586
9923	603	10533
9320	326	9650
9449	105	9557
8809	312	9424
8726	488	9226
2506	6256	8769
8406	266	8684
8196	314	8513
7839	504	8346
8125	145	8352
6822	271	7103
6116	272	6389
6939	202	7150
6914	236	7152
7462	72	7537
7450	199	7656
7673	175	7851
8140	129	8277
7610	136	7830
6223	134	6366
6708	146	6876
6909	65	6996
3769	847	4737
1239	3659	4899
2573	2764	5338
5612	153	5767
5495	439	5934
5255	757	6014
5868	122	5990
5523	359	5884
5709	73	5784
961	3736	5499
7210	231	7536
7366	73	7569
7459	42	7668
7620	76	7807
7694	45	7859
7500	187	7794
7479	82	7816
7736	67	7902
7725	157	7923
7680	201	7919
7864	60	7951
7651	134	7954
7661	77	7965
7530	302	7924
7780	119	7967
7701	250	7977
7776	183	7989
7931	30	7974
7808	124	7970
7803	147	7971
6632	921	7653
7464	76	7619
6256	239	6499
6793	171	6968
6640	276	6923
6877	149	7031
13965	338	14309
15004	184	15194
14913	481	15411
14720	708	15437
16568	406	17106
18613	905	19527
18848	1093	19958
19037	969	20016
19803	518	20353
14047	6373	20431
19240	1162	20414
19587	533	20124
9865	10720	20685
16696	994	17708
15473	490	15975
15413	274	15694
15243	157	15409
14684	575	15275
13393	747	14153
13810	167	14216
5902	5824	11735
10786	633	11424
10805	541	11422
10280	612	10900
10524	130	10657
9943	546	10492
9947	509	10458
7389	1946	9339
4929	2251	7187
6589	387	6995
7011	65	7079
4635	1037	5681
4034	499	5419
5267	164	5433
5247	164	5417
4398	788	5281
5328	48	5379
5057	74	5136
4459	158	4621
3980	570	4553
4315	36	4351
3653	53	3712
3801	138	3942
3929	126	4058
4051	57	4112
4107	99	4217
4867	102	4970
4951	149	5202
5094	75	5173
5270	158	5429
5289	57	5350
5211	109	5327
4024	446	4471
2942	69	3070
3468	136	3624
3237	441	3679
3632	39	3673
3666	64	3731
3740	38	3778
3755	60	3817
3249	845	4097
3996	79	4078
4026	168	4196
4119	46	4166
4092	26	4121
3868	282	4183
4061	95	4157
3530	605	4137
2993	1138	4132
3826	346	4177
6598	71	6812
6662	164	6914
6663	180	6937
6667	211	6928
6727	120	6944
6907	18	6987
6716	73	6869
5834	795	6917
6870	68	7005
6852	25	6951
6847	115	7034
6810	123	7014
6931	40	6998
6883	72	7017
6899	86	7023
7029	69	7145
7054	67	7165
6866	153	7178
7102	44	7211
6932	147	7146
6897	141	7104
7049	46	7166
6888	133	7119
6954	89	7125
6810	173	7054
6926	161	7142
6854	169	7156
6817	269	7138
6875	128	7138
6849	77	7123
6832	155	7109
6770	120	7105
6820	126	7080
6768	108	7099
6605	309	7073
6882	117	7028
6853	108	7028
6918	60	7043
6792	79	6940
6697	215	7033
6802	115	7031
6737	50	6877
6310	390	6875
6660	75	6807
6613	117	6792
6396	232	6679
6354	161	6620
6390	79	6510
6310	169	6512
6167	240	6423
6209	136	6398
6195	193	6452
5220	21	5279
5262	87	5393
4993	108	5124
5153	61	5247
3262	25	3289
3924	36	3983
2348	1736	4088
4561	57	4619
4678	29	4707
5267	56	5327
5487	83	5572
5564	58	5623
5510	93	5606
5540	70	5615
5279	67	5348
5224	82	5311
4830	117	4951
4918	111	5033
4668	66	4957
4579	117	4702
4196	358	4562
10296	485	10822
10751	163	10920
8188	2474	10664
10105	318	10423
7901	2338	10242
9719	504	10246
9621	270	9897
9391	305	9710
4509	3692	8213
4355	3538	7900
4362	3543	7909
7201	394	7603
4031	3509	7545
3945	3103	7051
3869	3195	7066
6971	138	7110
2067	1227	3295
3275	73	3350
6000	457	6459
6556	486	7046
6786	294	7084
6778	306	7085
5265	1924	7192
6659	508	7169
6481	88	6575
5682	293	5977
6010	80	6091
6455	106	6568
6100	528	6636
6392	573	6965
6474	578	7057
5754	1493	7256
5701	1383	7379
7243	77	7324
5566	1656	7223
5516	1336	7139
3873	3162	7119
5225	1707	6935
5791	1078	6878
5670	1031	6705
5148	61	5211
6094	114	6210
4767	130	4897
5277	73	5352
4790	130	4925
5013	188	5206
5224	189	5420
4931	299	5421
5294	188	5483
5262	228	5491
3102	56	3162
2957	297	3263
3254	71	3330
3392	103	3495
2627	965	3594
3506	86	3593
3696	81	3780
3725	79	3835
3840	48	3915
3988	29	4019
4064	82	4146
4147	40	4222
4183	40	4227
4141	88	4229
4075	90	4165
4090	70	4162
3949	67	4019
3630	72	3875
3301	213	3962
3665	69	3917
4830	66	4896
5440	72	5512
5359	70	5433
4797	659	5465
5141	95	5240
5004	65	5072
9818	325	10167
9967	187	10157
7913	274	8209
5556	51	5608
4700	1643	6350
6958	136	7098
2592	3799	7146
4229	2970	7363
7176	235	7417
7316	132	7449
7377	138	7523
7413	124	7538
4401	2431	7462
7271	217	7496
6353	480	6838
6281	481	6766
5710	396	6106
5430	147	5579
6963	262	7452
7412	251	7672
7591	120	7712
7646	127	7775
7068	713	7786
7233	308	7551
7240	162	7404
7183	167	7355
6869	227	7258
7106	125	7237
6860	121	6985
4873	1197	6071
3176	2400	5949
6478	63	6542
5878	361	6242
6027	138	6173
5990	109	6099
6236	116	6360
6522	163	6704
6533	243	6787
6717	72	6792
6801	89	6894
6646	356	7003
6949	120	7074
7007	290	7301
7109	216	7328
3827	3378	7206
3817	3365	7183
7159	88	7252
3788	3345	7139
6492	136	6666
6224	421	6673
5198	1319	6546
4096	177	4274
4301	67	4368
4227	192	4419
6205	277	6483
6507	84	6591
6596	122	6719
6777	172	6956
6894	77	6971
1577	4867	6451
2091	4812	6903
6614	199	6815
6748	145	6896
3678	203	3888
3507	46	3554
6102	61	6202
6148	51	6221
6047	62	6131
6073	63	6184
5524	555	6091
5302	575	5911
4294	146	4445
4234	44	4287
4037	264	4304
3791	459	4258
3780	138	3951
4031	92	4133
4091	166	4266
4383	51	4443
4441	28	4471
4648	61	4711
98	4602	4706
4692	47	4744
4213	24	4591
6766	77	6844
9879	213	10096
10455	141	10605
10925	257	11186
11595	116	11727
11631	111	11778
11730	293	12031
12320	252	12576
12427	312	12743
12615	230	12873
12642	206	12891
12712	210	12933
12739	293	13245
12279	185	12468
11582	298	11886
9818	117	10301
91	9374	9634
8935	403	9499
8816	90	9067
8412	117	8694
5868	33	5941
6092	54	6212
6044	100	6231
6058	45	6175
6133	64	6286
6203	46	6334
5969	234	6305
5889	250	6308
5941	203	6378
6247	122	6407
6112	192	6331
6506	52	6627
6487	53	6646
6429	103	6622
6333	192	6651
6529	46	6634
6216	210	6588
6227	183	6582
6346	232	6657
6345	250	6645
6354	201	6676
6469	85	6660
6465	105	6696
6406	84	6673
6307	107	6656
6438	81	6649
6495	39	6688
6430	148	6711
6447	118	6704
6576	47	6763
6539	218	6785
6543	127	6770
6476	121	6695
6582	53	6713
6578	36	6675
6567	35	6639
6525	92	6634
6531	68	6655
6461	149	6656
6481	138	6664
6525	24	6601
6521	74	6663
6514	112	6654
6411	99	6640
6449	78	6615
6471	92	6593
6313	116	6449
6327	170	6525
6241	58	6339
5819	409	6359
6202	87	6360
5960	57	6092
326	9378	9717
9394	169	9567
3299	5978	9290
6924	313	7245
6420	193	6619
5924	240	6166
3601	74	3675
5259	153	5420
5819	146	5971
4055	323	4378
4362	45	4407
4560	86	4648
5535	189	5727
5586	128	5716
4909	812	5724
5297	211	5660
5365	95	5461
4580	695	5281
4974	137	5115
4599	130	4732
3624	612	4239
5856	543	6399
4662	510	5175
4903	335	5244
5253	151	5411
5247	219	5470
5817	77	5967
6046	157	6208
6384	157	6550
6330	163	6600
5649	844	6652
6900	143	7050
6559	309	7090
6658	409	7068
6886	214	7103
6971	221	7195
7037	203	7243
6556	643	7208
7126	54	7185
6510	234	6751
5741	237	6197
6104	175	6282
6146	141	6292
5708	279	5989
4056	100	4266
4203	69	4314
4478	71	4591
4469	60	4572
4413	154	4568
4479	160	4642
4680	51	4824
4610	74	4772
4605	302	4908
4805	103	4910
4685	57	4745
4663	58	4726
4662	71	4740
3222	1349	4642
4441	155	4677
4312	276	4591
4462	71	4534
3939	398	4614
3515	484	4407
3772	96	3871
13797	464	14263
5523	231	5763
5339	969	6316
10688	252	10948
11060	331	11396
10520	1650	12175
12125	259	12396
11694	551	12248
8101	203	8310
7086	113	7203
3522	6499	10195
9670	446	10125
9727	413	10148
9953	154	10112
9635	456	10093
7757	1564	9325
6781	2133	8933
6684	2116	8803
5180	2441	7689
1501	5201	6706
1205	4901	6109
4466	113	4580
5893	343	6240
7728	65	7796
7487	474	7964
6261	1233	7495
7244	178	7425
6336	68	6411
4201	654	4856
4790	90	4880
4796	74	4875
5852	241	6096
5557	579	6138
5396	895	6293
5574	637	6214
4471	159	4630
4355	251	4607
4925	34	4961
4685	3260	7949
7805	415	8221
7912	421	8334
7991	388	8385
6266	160	6429
6421	149	6574
7706	173	7884
7801	132	7953
8614	118	8800
8245	510	8820
8720	114	8903
8652	138	8794
8693	151	8998
8562	358	9083
8996	195	9205
8692	290	9092
9003	157	9262
8459	489	9004
8779	117	8903
8477	176	8654
7189	1191	8385
6868	606	7478
6754	596	7359
5877	1436	7319
6652	120	6789
6259	337	6662
6467	80	6615
5971	155	6568
5685	285	5979
5948	115	6068
5067	872	5939
5051	514	5570
4198	355	4553
7955	242	8203
5318	3149	8472
5389	3143	8536
4779	3586	8626
8307	721	9037
8818	806	9626
9514	110	9628
8980	841	9824
9517	492	10133
9743	520	10270
8739	1304	10049
8879	864	9744
8862	544	9408
8881	96	8984
7944	417	8562
7962	318	8286
7589	199	7798
6668	642	7314
6548	358	6915
5531	1161	6696
5300	446	5751
4299	1293	5628
4889	315	5442
4946	171	5185
5838	1120	7156
7120	75	7196
7036	173	7227
515	6660	7178
6729	468	7198
6578	533	7116
6230	780	7014
4033	792	4827
4398	615	5014
5079	189	5276
5661	70	6011
4796	1024	6099
7676	69	7748
958	6934	7892
8558	117	8679
478	8391	8893
8259	4257	12519
12072	240	12327
12609	256	12874
12810	246	13059
14570	338	14917
15144	454	15610
10481	5683	16169
10492	5741	16237
16484	279	16774
17324	239	17574
11551	6232	17791
12232	5672	17915
16309	1525	17837
13584	4798	18385
14507	4947	19460
14285	5479	19774
14891	5149	20046
19867	405	20284
12703	7788	20510
19984	247	20242
12575	2104	14688
12448	2003	14454
12265	1957	14225
11893	1997	13896
11599	1972	13584
11547	1987	13545
10513	2011	12526
10684	841	11530
7678	195	7881
7162	342	7510
5088	876	5966
5806	126	6043
259	5710	5977
4876	1012	5911
6174	107	6292
6582	121	6704
5415	1203	6622
6752	89	6845
5463	1130	6761
6442	96	6738
6600	75	6675
5659	67	5727
5275	48	5335
7427	151	7581
7143	705	7853
5000	2956	7965
7784	419	8213
7985	209	8198
6601	1760	8364
8251	140	8393
8144	72	8218
8184	70	8258
7373	254	7627
7474	99	7582
6932	563	7500
7295	188	7485
6766	495	7264
6764	70	6838
6757	71	6829
6306	176	6488
4263	153	4438
4409	45	4481
4392	59	4488
4127	172	4383
4313	43	4401
4293	18	4351
4140	78	4279
4161	27	4218
3946	39	4017
3875	64	4024
4100	26	4151
7042	148	7201
7306	164	7477
10402	293	10706
11314	431	11773
10731	1381	12120
11523	410	11938
7611	3816	11701
11451	151	11605
9058	1974	11048
10657	203	10869
9080	1321	10763
5695	2826	8698
8242	191	8624
5712	2738	8452
7982	127	8117
6712	292	7058
5033	173	5236
4098	994	5124
4896	93	5019
4891	93	5017
6484	442	6935
7446	149	7601
5907	142	6053
6558	79	6655
4062	2649	6790
7488	639	8128
3357	4988	8533
3628	4962	8591
3662	4890	8554
3710	4939	8652
3795	4829	8629
8266	427	8695
7282	641	7930
5253	1646	6903
6942	755	7702
5040	3030	8113
5084	3126	8217
5097	2351	8352
9469	241	9720
9497	177	9676
8619	1304	9942
9780	133	9977
9427	316	9750
1669	7384	9066
8596	113	8901
5411	2778	8194
8292	52	8397
518	7246	7771
7825	79	7906
5283	1999	7292
6314	112	6466
5788	559	6349
6261	197	6462
8050	193	8243
6494	1738	8233
2014	5518	7538
7387	78	7465
6562	199	6764
4817	104	4922
2533	2405	4940
4406	617	5026
5780	47	5828
2960	4113	7080
7015	196	7214
7458	425	7885
7935	179	8129
7704	329	8054
6976	902	7886
7336	268	7608
5654	43	5700
5881	95	5980
6731	64	6834
6830	105	6972
6211	707	7026
7004	75	7086
6806	308	7116
7160	231	7427
6111	137	6252
4160	160	4321
4909	62	4974
5381	134	5517
6010	165	6179
6830	192	7035
6871	77	6949
9328	267	9598
10612	115	10738
10766	540	11311
11184	226	11414
11007	224	11238
9947	1311	11263
10599	261	10869
9180	1666	10850
9707	106	9828
7856	85	7942
5507	138	5650
4008	1581	5593
5451	96	5551
3742	32	3778
3777	32	3815
3724	138	3863
4145	109	4273
3109	936	4225
4132	108	4242
4203	73	4282
4031	175	4212
4174	89	4263
3945	122	4105
3562	346	3941
4339	515	4857
4025	500	4862
4285	649	4936
5170	202	5417
5315	159	5530
5254	113	5422
5100	656	5869
5357	59	5479
5797	58	5929
5947	62	6019
6249	104	6362
5277	1286	6569
6217	212	6435
6171	221	6398
5906	146	6054
5485	468	5956
5646	146	5796
4833	875	5714
5549	94	5646
5196	187	5390
4659	249	4913
4022	705	4727
4383	179	4563
4024	103	4129
3001	1146	4148
3851	101	3958
3872	49	3924
6297	246	6544
6503	294	6857
4918	2139	7060
6933	231	7169
2242	4961	7204
3772	3579	7354
6058	1912	8274
8639	123	8764
7453	1319	8775
8454	171	8788
2234	5343	7579
7220	368	7595
3998	3493	7495
6647	660	7309
7105	107	7216
6877	287	7168
6668	454	7138
6686	140	6834
6451	334	6818
4433	2304	6744
6117	128	6258
5753	447	6208
5331	140	5472
5136	309	5448
4842	533	5375
4953	272	5362
3719	1612	5333
5144	103	5257
4497	169	4688
1663	2969	4632
4483	116	4600
2751	1737	4491
9123	182	9328
9965	226	10198
9734	196	9936
9129	798	9936
6675	3200	9884
7983	192	8179
3974	1871	5848
2421	3381	5804
6362	43	6413
6259	152	6417
9960	191	10253
10678	162	10863
974	9920	10912
11228	176	11458
11559	223	11806
11410	360	11775
11642	216	11860
11034	280	11329
10211	107	10347
9475	180	9685
5221	98	5323
6901	182	7085
7269	347	7620
2418	5120	7539
2585	4970	7556
403	7368	7788
7600	86	7689
7301	58	7418
7321	111	7442
7106	300	7457
6933	259	7197
6819	463	7283
7211	85	7298
6341	462	6808
6707	170	6884
6372	43	6420
5950	349	6340
6178	63	6283
173	5891	6068
5893	195	6097
5602	225	5832
5689	80	5775
3820	1089	4912
3880	1042	4924
4517	90	4607
4589	58	4657
3982	127	4111
3738	395	4137
4255	154	4410
4204	193	4397
4327	363	4691
4549	303	4853
5005	114	5119
4988	114	5105
4808	418	5226
5055	171	5227
2930	2304	5235
5124	140	5268
5111	180	5300
2986	2071	5241
3072	2017	5268
4783	297	5266
5059	60	5293
4111	887	5003
4683	113	4796
2394	2274	4674
4372	156	4530
4519	62	4583
4045	416	4467
4245	48	4339
3844	180	4167
4099	109	4208
4063	120	4184
2886	939	4108
3946	53	3999
5548	133	5682
5514	269	5798
5695	135	5832
5532	315	5849
5821	132	5955
5471	525	6001
5783	270	6062
5987	260	6278
2685	3549	6248
6066	147	6216
6025	290	6319
5718	604	6326
6047	292	6341
5292	141	5435
5324	275	5604
5014	219	5239
5836	65	5902
5454	423	5878
5739	109	5848
7074	460	7632
8329	354	8688
8638	356	8997
8672	377	9056
9129	544	10072
9637	598	10253
10181	109	10298
9844	594	10456
10422	626	11056
11095	638	11736
11349	626	11978
12023	151	12187
11197	727	12450
12118	678	12809
12449	603	13069
12794	206	13004
12133	604	12837
12183	334	12576
11877	682	12577
12386	207	12596
11829	672	12510
10787	699	11532
10868	744	11616
10870	480	11456
10281	316	10605
9209	577	9793
8163	419	8622
7920	214	8384
7916	119	8043
7796	106	7906
6740	525	7275
6405	327	6739
6031	491	6523
6025	433	6460
6001	91	6092
5484	182	5676
4711	438	5150
4979	63	5048
4648	328	4976
4616	57	4680
6728	51	6782
6740	196	6940
6922	136	7061
6272	221	6499
6296	175	6473
6292	94	6398
5606	78	5688
5513	205	5724
5399	451	5859
5626	224	5852
5774	74	5850
5471	246	5719
6246	105	6373
6819	102	6941
564	6414	7005
7038	98	7164
7143	71	7216
4989	3080	8071
8114	121	8237
7755	204	7970
4121	3554	7801
7323	133	7456
7287	105	7397
6982	335	7322
6790	71	6862
7312	33	7402
7768	94	7932
8303	68	8385
7628	64	7719
7976	111	8124
7748	64	7832
7066	185	7259
7139	88	7238
796	8332	9132
805	7992	8803
9884	348	10240
10556	476	11040
9779	419	10210
9078	253	9334
9162	251	9423
4242	5042	9287
9073	167	9253
8440	680	9130
3125	4917	8056
3094	4894	7990
2716	4357	7076
6894	126	7024
6663	71	6738
5110	47	5158
5405	108	5582
5658	300	5962
3882	2142	6024
6128	107	6239
6146	207	6359
1826	4692	6521
6552	72	6626
2909	3541	6453
6291	283	6579
5920	489	6413
4560	1363	6289
5056	98	5159
5539	74	5684
5711	41	5815
5810	101	5971
2141	3697	5900
1778	3918	5922
5975	57	6037
5737	149	5952
3540	2702	6244
6533	75	6612
6474	75	6558
6906	200	7108
7206	141	7385
6983	365	7388
6830	369	7408
7531	232	7770
7609	127	7767
7400	168	7575
7478	80	7561
7490	75	7568
6831	124	6975
3023	3771	6955
6850	108	6972
6655	209	6878
6722	122	6871
6562	195	6876
6150	438	6824
6605	175	6783
6056	92	6157
6084	454	6540
6492	123	6620
6193	255	6451
6248	129	6384
6104	209	6355
6258	65	6334
6053	112	6188
6207	94	6303
4876	186	5065
5294	114	5415
5286	125	5415
4326	1061	5391
4469	978	5448
4633	851	5489
5486	47	5534
5400	165	5566
5478	111	5590
5482	202	5690
5413	202	5617
230	4881	5778
5760	64	5826
4221	1516	5737
5433	106	5539
5214	197	5414
888	4250	5140
4605	186	4794
4407	161	4569
3994	473	4471
4364	76	4441
4096	46	4144
2738	86	2829
3011	29	3041
3065	33	3098
3112	56	3213
3310	26	3338
3254	92	3347
3166	177	3348
4329	1080	5413
5687	126	5815
5706	121	5831
5713	118	5831
5434	258	5695
417	5081	5500
145	5031	5181
5519	47	5569
5913	95	6017
5809	238	6054
6122	53	6176
5059	281	5401
4978	63	5043
5677	145	5823
5247	192	5592
5813	81	5895
6227	110	6338
1893	4427	6323
6245	92	6346
6237	160	6404
5991	343	6342
6344	103	6448
6278	334	6618
6360	51	6426
5189	1235	6428
6230	361	6594
5494	1468	6970
6505	473	6979
7191	91	7301
2757	4379	7138
7620	98	7718
1695	4510	8157
8033	294	8330
8754	267	9039
5643	3353	9002
8941	341	9284
8904	447	9358
9066	321	9400
9190	422	9615
9663	356	10025
9281	391	10023
9759	322	10082
9873	321	10196
9770	481	10255
9749	483	10237
10139	136	10283
9043	783	9831
8603	192	8799
7325	423	7754
6469	1094	7568
6378	964	7351
6076	1773	7851
7849	403	8257
8297	174	8477
7183	1243	8430
8572	112	8685
7885	714	8603
7940	544	8484
7354	84	7445
6505	347	6860
6301	205	6510
5526	490	6018
7176	83	7261
4944	2634	7583
4819	2798	7622
7226	523	7750
7939	222	8169
7964	332	8297
1745	6633	8382
7145	1257	8403
2947	5421	8369
6414	1908	8331
4427	3741	8172
8099	80	8183
7454	658	8119
7874	90	7967
970	6601	7584
7123	225	7420
6152	1260	7413
5589	622	6214
6062	133	6196
3765	420	4189
5622	86	5738
5519	193	5736
5715	36	5763
5603	66	5718
5580	75	5763
5604	146	5806
5621	72	5748
5391	285	5729
5539	95	5696
5541	58	5643
5561	77	5660
5625	74	5727
5577	53	5725
5606	43	5708
5230	252	5707
5649	41	5717
5611	141	5791
5710	40	5777
5643	50	5735
5631	57	5746
5645	83	5766
5678	52	5761
5671	103	5792
5791	49	5886
5774	32	5894
5647	66	5796
5585	136	5794
5889	55	6020
5913	44	6009
5979	66	6101
5704	34	5811
5717	54	5828
5771	49	5874
5591	70	5731
5561	89	5723
5509	66	5658
5446	950	6398
5833	1084	6918
7015	326	7346
7138	122	7264
7044	199	7248
6389	658	7049
6391	372	6763
6346	404	6758
6377	65	6496
6182	114	6328
6208	47	6258
6259	107	6369
6295	68	6381
6219	128	6373
6203	97	6318
6113	144	6285
6104	119	6324
5513	829	6352
6055	193	6287
6085	54	6189
6030	106	6166
6043	45	6118
5691	179	5929
5842	144	5986
6183	388	6575
6420	397	6821
7165	107	7273
6935	377	7318
8320	279	8609
8104	550	8658
8618	237	8858
8524	221	8748
1143	6394	7539
7220	188	7413
7279	111	7391
4693	2051	6747
6569	149	6725
5442	110	5570
5393	134	5608
5506	120	5631
6637	92	6731
6135	1029	7168
5529	1944	7477
5294	2605	7906
270	7821	8092
7674	467	8143
8141	503	8650
7390	1299	8694
8564	324	8904
7157	1602	8761
8527	191	8729
8098	279	8616
7947	684	8633
7618	941	8561
7994	544	8542
5699	2530	8234
7754	292	8051
7078	404	7483
6703	739	7445
4934	1887	6824
6123	112	6241
6260	441	6709
6071	991	7095
7438	159	7602
6861	607	7885
7476	314	7792
7573	302	7893
7621	142	7768
5159	78	5240
5209	83	5295
5362	50	5419
5680	104	5786
5404	447	5858
5725	133	5861
411	5492	5915
5878	143	6027
5809	247	6056
5595	474	6074
6329	79	6416
6474	125	6600
5915	708	6624
6478	210	6691
6572	188	6761
6677	293	7014
6882	140	7069
6630	215	7078
6264	112	7130
6071	168	7187
7028	466	7647
7299	423	7872
7740	125	7872
7630	125	7758
7200	134	7535
6544	707	7445
2672	4396	7265
6995	157	7254
6392	674	7166
7065	164	7233
7073	99	7179
6585	97	7155
6582	95	7061
6631	230	6872
6237	287	6959
6408	100	6943
6120	122	6711
4713	745	6312
5420	174	6276
6263	120	6384
5951	499	6453
6234	219	6458
6115	172	6288
5931	165	6101
4646	57	4704
4996	167	5164
5060	82	5146
6643	264	6910
5379	389	5774
5512	37	5613
4986	307	5331
7217	748	7971
8405	545	8953
9469	162	9633
10269	153	10423
4462	5974	10446
10611	319	10936
8749	1748	10506
7303	3349	10655
10454	257	10720
8278	2175	10457
10552	137	10701
9828	241	10086
9254	896	10159
9789	153	9954
9654	515	10175
9759	142	9913
10565	107	10774
10508	210	10923
10738	140	11097
5139	5409	10658
10930	159	11221
9735	1405	11250
10024	448	10862
11127	131	11358
10899	189	11186
7746	3207	11050
10678	190	10979
10723	139	10870
9168	1578	10752
10692	201	10897
10235	316	10554
4361	5684	10054
10089	145	10262
9550	275	9830
9700	254	10039
3418	4978	8399
5925	2124	8054
6090	258	6351
6275	165	6462
5026	781	5815
5616	97	5713
4644	990	5638
5056	220	5290
4403	899	5305
4872	265	5137
4871	125	4997
4622	222	4845
4571	294	4869
5038	241	5282
6765	349	7116
7335	172	7514
7687	170	7858
6210	1538	7965
7775	241	8024
7798	280	8081
4542	3483	8028
1486	6514	8001
5353	2717	8072
6938	1055	8128
7877	196	8076
6949	342	7294
7001	179	7183
6587	222	6816
6096	446	6542
93	6457	6554
6248	293	6544
6557	168	6728
5019	1320	6467
6421	166	6590
6871	316	7190
7018	139	7161
6441	628	7072
5614	276	5894
497	5755	6257
6246	320	6569
6586	195	6790
5496	1294	6792
5776	936	6795
6656	58	6718
6826	153	7024
7873	89	8004
7897	145	8058
7939	162	8134
8041	207	8273
8182	122	8366
8277	113	8423
9229	227	9516
9252	374	9688
9456	176	9799
9656	125	9917
9944	101	10108
10503	416	10973
11189	143	11396
12121	168	12406
12576	116	12753
12403	375	12850
12621	190	12909
13489	162	13805
13522	206	14092
13481	364	14127
13407	457	14143
14850	287	15220
14883	247	15211
14640	390	15138
14776	277	15153
14835	298	15188
15302	206	15635
15320	279	15910
15174	223	15615
15380	446	16036
15392	326	15810
15308	351	15764
16425	205	16657
16231	323	16684
15777	323	16252
15275	221	15570
15270	234	15586
14357	236	14685
13796	194	14214
13754	218	14093
13681	394	14211
13645	511	14241
13052	820	14232
12885	691	13727
13096	244	13509
12806	253	13366
12749	230	13248
12763	261	13187
12996	137	13185
12712	258	13052
12966	137	13139
12525	210	12800
11549	883	12662
11600	813	12600
10620	162	10931
10178	676	10925
10187	138	10396
7784	375	8171
7614	344	7992
7590	306	8040
7611	357	8038
7339	375	7837
7111	71	7262
6888	56	7023
6699	80	6871
6770	89	6942
6337	63	6482
6165	170	6392
6162	106	6379
5979	34	6092
5310	139	5451
6665	553	7219
7167	268	7436
5737	1847	7598
7110	350	7462
7272	84	7358
6986	75	7067
4735	2140	6879
6462	193	6714
5575	522	6099
5858	261	6123
2702	245	2948
3121	51	3172
3119	99	3220
3253	147	3403
3249	175	3426
3327	139	3473
3351	140	3497
3265	154	3449
4805	1800	6613
6320	345	6677
5727	1028	6759
4941	1996	6942
3765	2974	6742
2702	3943	6648
5101	1141	6245
5845	179	6025
4341	720	5756
4617	988	5606
5064	91	5156
3340	150	3490
3612	29	3649
3410	360	3774
3620	180	3808
3784	39	3825
4396	319	4719
4223	294	5344
5617	56	5676
5126	635	5764
5775	59	5839
4228	2621	6852
5972	154	6131
3499	456	3959
4039	44	4086
3162	1603	4768
2936	1511	4448
3251	955	4207
282	5613	5942
5919	179	6100
6273	58	6338
5951	342	6299
5296	1198	6502
11399	792	12199
11871	290	12171
4405	7659	12090
11824	338	12201
11924	300	12224
11640	575	12216
11872	240	12113
11063	450	11517
4128	493	4621
5557	44	5614
5814	83	5904
7555	221	7780
4402	7108	11518
4427	7135	11567
9638	113	9761
7651	983	8639
4089	65	4290
4537	67	4623
4533	84	4703
4569	207	4807
4788	46	4839
4714	105	4869
4877	47	4930
4888	47	4941
4481	535	5018
4864	114	4983
5094	42	5145
4873	236	5142
5309	144	5492
5169	527	5708
5430	238	5738
5530	262	5793
6001	158	6162
5495	728	6229
4744	1654	6398
5994	696	6694
5760	236	5999
5438	86	5529
6450	371	6827
6559	404	6969
5209	2029	7241
6988	195	7183
6552	387	6949
2344	2404	4749
4696	131	4831
4723	275	5004
4901	132	5035
5305	160	5466
3456	2209	5667
5082	691	5775
5821	211	6034
5663	693	6368
6197	116	6321
5536	716	6253
5985	113	6105
6032	132	6164
5644	489	6134
3126	2514	5999
5519	154	5810
5062	743	5808
3643	1326	4973
5745	61	5808
5708	60	5770
5621	61	5687
5673	53	5727
1417	4776	6198
5745	266	6016
5441	1177	6629
6220	691	6912
3636	3010	6668
3084	3777	6861
3131	3690	6826
3095	3935	7338
7360	88	7449
3475	4242	7724
5481	3240	8725
8723	1613	10732
10426	380	10886
10669	735	11992
11810	223	12041
11705	225	11932
11784	222	12011
11872	201	12176
10967	1133	12112
11846	194	12045
5859	6016	11878
10190	1670	11860
10697	1042	11745
11478	217	11702
6275	4904	11657
11185	473	11660
8753	1519	11272
3321	7125	10452
3020	7383	10404
9679	487	10171
8946	922	10347
8602	1641	10257
9935	165	10108
8235	812	9056
